Division,0
Teams,36
Number,Name,School,City,State,Country
6022,TBD - To Be Determined,,,,
519,Ed Too -Pokemon Trainers,,,,
3085,Higgs Bots,,,,
8498,The Evil Purple Sox,,,,
4017,Robopandas,,,,
40,HAX Robotics,,,,
3415,Lancers,,,,
5414,Techie Tornados,,,,
5319,Wolverines,,,,
7176,Bionic Tigers,,,,
4174,Atomic Theory,,,,
9372,Standard Model,,,,
4082,RoboSpartans,,,,
8405,Milburn Robotics,,,,
5069,Robogamers,,,,
5602,Bionic Gaels,,,,
8521,Hard-Hitting Hardware Hooligans,,,,
8645,Robotic Doges,,,,
7117,The Blockheads,,,,
5017,RoboEpic,,,,
4347,NanoGurus,,,,
154,Renegade Robotics,,,,
8227,Enginuity,,,,
8129,Cane Bots,,,,
8390,Nerd Herd,,,,
3540,Roboboogie,,,,
4554,Robo Mustangs,,,,
7244,Out of the Box,,,,
6081,i²robotics,,,,
7350,Watt's NXT?,,,,
6700,X-bots,,,,
6955,Robovines,,,,
310,StuyFission,,,,
5272,Heptahelix,,,,
6037,W.A.G.S.,,,,
7487,Suffern's Super Seven,,,,
Rank,Number,Name,QP,RP,Highest,Matches
1,6022,TBD - To Be Determined,16,3589,727,9
2,519,Ed Too -Pokemon Trainers,16,2189,639,9
3,3085,Higgs Bots,14,3047,674,9
4,8498,The Evil Purple Sox,14,2891,552,9
5,4017,Robopandas,14,2652,492,9
6,40,HAX Robotics,14,2052,661,9
7,3415,Lancers,12,2838,606,9
8,5414,Techie Tornados,12,2750,727,9
9,5319,Wolverines,12,2469,674,9
10,7176,Bionic Tigers,12,2219,559,9
11,4174,Atomic Theory,10,3159,640,9
12,9372,Standard Model,10,3126,567,9
13,4082,RoboSpartans,10,2798,577,9
14,8405,Milburn Robotics,10,2593,577,9
15,5069,Robogamers,10,2511,567,9
16,5602,Bionic Gaels,10,2358,528,9
17,8521,Hard-Hitting Hardware Hooligans,10,2307,559,9
18,8645,Robotic Doges,10,2280,523,9
19,7117,The Blockheads,8,3164,639,9
20,5017,RoboEpic,8,2807,615,9
21,4347,NanoGurus,8,2794,546,9
22,154,Renegade Robotics,8,2546,566,9
23,8227,Enginuity,8,2520,508,9
24,8129,Cane Bots,8,2469,467,9
25,8390,Nerd Herd,8,2467,521,9
26,3540,Roboboogie,8,2416,631,9
27,4554,Robo Mustangs,8,2012,458,9
28,7244,Out of the Box,6,2248,640,9
29,6081,i²robotics,6,2053,563,9
30,7350,Watt's NXT?,6,2050,523,9
31,6700,X-bots,4,2795,512,9
32,6955,Robovines,4,2424,563,9
33,310,StuyFission,4,1020,581,9
34,5272,Heptahelix,2,2433,479,9
35,6037,W.A.G.S.,2,2419,375,9
36,7487,Suffern's Super Seven,2,1847,385,9
Name,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RedTot,RedAuto,RedAutoB,RedTele,RedEndG,RedPen,BlueTot,BlueRedAuto,BlueAutoB,BlueTele,BlueEndG,BluePen
Q-62,311-492 B,4082,5414,0,8645,8521,0,311.0,20.0,0.0,45.0,186.0,60.0,492.0,140.0,0.0,150.0,202.0,0.0
Q-63,581-100 R,519,310,0,5017,6700,0,581.0,80.0,0.0,279.0,222.0,0.0,100.0,20.0,0.0,0.0,30.0,50.0
Q-64,482-640 B,4347,7117,0,4174,7244,0,482.0,20.0,0.0,180.0,232.0,50.0,640.0,110.0,0.0,258.0,262.0,10.0
Q-65,400-458 B,8405,6081,0,4554,5602,0,400.0,50.0,0.0,150.0,10.0,190.0,458.0,50.0,0.0,222.0,186.0,0.0
Q-66,310-350 B,6955,8129,0,8498,6037,0,310.0,50.0,0.0,60.0,200.0,0.0,350.0,50.0,0.0,100.0,190.0,10.0
Q-67,232-661 B,5319,5272,0,6022,40,0,232.0,20.0,0.0,162.0,50.0,0.0,661.0,50.0,0.0,339.0,242.0,30.0
Q-68,403-90 R,519,8645,0,7176,4017,0,403.0,80.0,0.0,243.0,30.0,50.0,90.0,20.0,0.0,60.0,10.0,0.0
Q-69,476-466 R,4082,5017,0,7350,154,0,476.0,50.0,0.0,164.0,262.0,0.0,466.0,20.0,0.0,204.0,242.0,0.0
Q-70,152-149 R,5414,7487,0,310,8227,0,152.0,50.0,0.0,12.0,40.0,50.0,149.0,0.0,0.0,59.0,90.0,0.0
Q-71,314-336 B,8390,3540,0,9372,3085,0,314.0,100.0,0.0,154.0,60.0,0.0,336.0,70.0,0.0,114.0,152.0,0.0
Q-72,422-407 R,5069,8521,0,3415,6700,0,422.0,80.0,0.0,180.0,152.0,10.0,407.0,110.0,0.0,87.0,150.0,60.0
Q-73,234-351 B,8405,8129,0,519,6022,0,234.0,20.0,0.0,124.0,90.0,0.0,351.0,50.0,0.0,149.0,132.0,20.0
Q-74,219-426 B,7244,4082,0,8498,7176,0,219.0,50.0,0.0,109.0,50.0,10.0,426.0,20.0,0.0,110.0,226.0,70.0
Q-75,50-563 B,7117,310,0,6955,6081,0,50.0,20.0,0.0,0.0,10.0,20.0,563.0,50.0,0.0,301.0,212.0,0.0
Q-76,344-400 B,5017,6037,0,4554,9372,0,344.0,50.0,0.0,12.0,282.0,0.0,400.0,110.0,0.0,48.0,232.0,10.0
Q-77,392-330 R,4017,5602,0,5069,5319,0,392.0,20.0,0.0,90.0,252.0,30.0,330.0,0.0,0.0,78.0,202.0,50.0
Q-78,490-561 B,4174,3085,0,40,154,0,490.0,160.0,0.0,132.0,188.0,10.0,561.0,20.0,0.0,319.0,222.0,0.0
Q-79,157-496 B,3415,8227,0,3540,8645,0,157.0,50.0,0.0,87.0,20.0,0.0,496.0,50.0,0.0,204.0,242.0,0.0
Q-80,397-509 B,4347,6700,0,8390,5414,0,397.0,110.0,0.0,105.0,182.0,0.0,509.0,110.0,0.0,173.0,166.0,60.0
Q-81,312-282 R,8521,7350,0,5272,7487,0,312.0,110.0,0.0,0.0,202.0,0.0,282.0,20.0,0.0,90.0,172.0,0.0
SF-1-1,328-501 B,6022,3085,4174,4017,6081,5319,328.0,50.0,0.0,112.0,146.0,20.0,501.0,50.0,0.0,275.0,176.0,0.0
SF-1-2,682-618 R,6022,3085,4174,4017,6081,5319,682.0,110.0,0.0,344.0,198.0,30.0,618.0,80.0,0.0,302.0,226.0,10.0
SF-1-3,772-306 R,6022,3085,4174,4017,6081,5319,772.0,140.0,0.0,252.0,120.0,260.0,306.0,20.0,0.0,66.0,120.0,100.0
SF-2-1,563-367 R,519,5414,5069,8498,154,3415,563.0,80.0,0.0,241.0,242.0,0.0,367.0,50.0,0.0,197.0,110.0,10.0
SF-2-2,371-362 R,519,5414,5069,8498,154,3415,371.0,50.0,0.0,183.0,138.0,0.0,362.0,20.0,0.0,182.0,60.0,100.0
F-1,554-574 B,6022,3085,4174,519,5414,5069,554.0,50.0,0.0,252.0,182.0,70.0,574.0,140.0,0.0,246.0,188.0,0.0
F-2,658-362 R,6022,3085,4174,519,5414,5069,658.0,140.0,0.0,328.0,190.0,0.0,362.0,50.0,0.0,122.0,190.0,0.0
F-3,717-430 R,6022,3085,4174,519,5414,5069,717.0,110.0,0.0,375.0,232.0,0.0,430.0,80.0,0.0,132.0,168.0,50.0
